examNumber,questionNumber,question,reference
1,11,Who was the captain of the English football team that won the World Cup in 1966?,Bobby Moore captained the English football team that won the World Cup in 1966.
1,12,When did the English defeat the Spanish Armada?,In 1588 the English defeated the Spanish Armada.
1,13,Anyone can make a complaint about the police by writing to the Chief Constable of the police force involved.,"If you are arrested and taken to a police station, a police Officer will tell you the reason for your arrest and you will be able to seek legal advice. If something goes wrong, the police complaints system tries to put it right. Anyone can make a complaint about the police by going to a police station or writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England"
1,14,What is the minimum age required to serve on a jury?,Anyone who is on the electoral register and is aged 18 to 70 can be asked to serve on a jury.
1,15,How is a jury selected?,"As well as getting the right to vote, people on the electoral register are randomly selected to serve on a jury. Anyone who is on the electoral register and is aged 18 to 70 can be asked to do this."
1,16,What is a bank holiday?,"There are public holidays each year called bank holidays, when banks and many other"
1,17,What will you be given to vote before a general election takes place?,Before the election you will be sent a poll card.
1,18,Which of the following statements is correct?,Solicitors’ charges are usually based on how much time they spend of a case.
1,19,"By law, which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?","By law, radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints."
1,20,Which of the following territories is a Crown dependency but is NOT part of the UK?,"Channel Islands is a British overseas territory linked to the UK, but it is not part of it."
1,21,What did Sir Frank Whittle invent in the 1930s?,The jet engine was developed in Britain in the 1930s by Sir Frank Whittle.
1,22,Who wrote ‘The Daffodils’?,The British poet William Wordsworth wrote ‘The Daffodils’.
1,23,Who was given the title of Lord Protector?,Oliver Cromwell was given the title of Lord Protector and ruled until his death in 1658.
1,24,What are the 40 days before Easter called?,The 40 days before Easter are known as Lent.
10,1,Who is the patron Saint of England?,The patron Saint of England is St George.
10,2,Where is Loch Lomond and the Trossachs National Park located?,Loch Lomond and the Trossachs National Park is located in the west of Scotland.
10,3,Wales has its own established church.,False. There is no established Church in Wales or Northern Ireland.
10,4,What stories are associated with Geoffrey Chaucer?,Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage.  This collection of poems is called The Canterbury Tales
10,5,When is Boxing Day celebrated?,Boxing Day is the day after Christmas Day (26th December) and is a public holiday.
10,6,What is the name of the holiday when banks and many other businesses are closed for the day?,"There are public holidays each year called bank holidays, when banks and many other businesses are closed for the day."
10,7,Why were women given the right to vote?,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
10,8,What do you need to drive in the UK?,"In the UK, you must have a driving licence to drive on public roads."
10,9,Where does “the Fringe” festival take place?,"The Edinburgh Festival takes place in Edinburgh, Scotland, every summer. It is a series of different arts and cultural festivals, with the biggest and most well-known being the Edinburgh Festival Fringe (‘the Fringe’)."
10,10,How many members does the Welsh government have?,There are 60 members of the Welsh government or members of the Senedd (MSs) and elections are held every four years using a form of proportional representation.
10,11,The names or photographs of  young people found guilty of a crime can be published in newspapers or used by the media.,"False. Members of the public are not allowed in Youth Courts, and the name or photographs of the accused young person cannot be published in newspapers or used by the media."
10,12,What was Edward Elgar famous for?,Sir Edward Elgar (1857-1934) was a musician. His best known work is probably the Pomp and Circumstance Marches. March No1 (Land of Hope and Glory) is usually played at the Last Night of the Proms at the Royal Albert Hall.
10,13,Which of the following is not a British banknote?,There are no £25 notes in the UK.
10,14,Where does the Scottish Grand National take place?,The Scottish Grand National takes place at Ayr.
10,15,The laws passed after the Glorious Revolution marked the beginning of the ______.,The laws passed after the Glorious Revolution marked the beginning of the constitutional monarchy.
10,16,"During the reign of Elizabeth I, a large fleet of ships was sent to England to conquer the country and to restore Catholicism, where did this fleet come from?","Elizabeth I became one of the most popular monarchs in English history, particularly after 1588, when the English defeated the Spanish Armada (a large fleet of ships), which had been sent by Spain to conquer England and restore Catholicism."
10,17,What did the Habeas Corpus Act introduce?,The Habeas Corpus Act became law in 1679. This was a very important piece of legislation which remains relevant today. Habeas corpus is Latin for ‘you must present the person in court’. The Act guaranteed that no one could be held prisoner unlawfully. Every prisoner has a right to a court hearing.
10,18,What did Emmeline Pankhurst fight for?,"Emmeline Pankhurst she set up the women’s Franchise League in 1889, which fought to get the vote in local elections for married women. In 1903 she helped found the Women’s Social and Political Union (WSPU). This was the first group whose members were called ‘suffragettes’. The group used civil disobedience as part of their protest to gain the vote for women. In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
10,19,What is “the Proms”?,"The Proms is an eight-week summer season of orchestral classical music that takes place in various venues, including the Royal Albert Hall in London."
10,20,What was Isaac Newton known for?,"Newton’s most famous published work was Philosophiae Naturalis Principia Mathematica (‘Mathematical Principle of Natural Philosophy’), which showed how gravity applied to the whole universe."
10,21,When did the WWI come to an end?,The World War I ended in 1918.
10,22,Who built a wall in the north of England to keep out the Picts (ancestors of the Scottish people)?,The Emperor Hadrian built a wall in the north of England to keep out the Picts (ancestors of the Scottish people).
10,23,Which two universities participate in an annual rowing race that takes place on the River Thames?,"Rowing is also popular, both as a leisure activity and as a competitive sport. There is a popular yearly race on the Thames between Oxford and Cambridge Universities."
10,24,Does Britain have a written constitution?,"The British constitution is not written down in any single document, and therefore it is described as ‘unwritten’."
11,1,Is St Helena part of the UK?,"British overseas territories, such as St Helena and the Falkland Islands are linked to the UK but are not part of it."
11,2,Where is Theatreland?,
11,3,What is the name of the UK currency?,The currency in the UK is the pound sterling (symbol £).
11,4,What other name is given to Diwali?,Diwali is often called the Festival of Lights.
11,5,What is the Enlightenment?,"The Enlightenment was a period during the 18th century when new ideas about politics, philosophy and science were developed."
11,6,Which of the following charities helps the environment?,Friends of the Earth is an environmental charity.
11,7,Which of the following was a crucial aerial battle fought between Germany and Britain during WWII?,The Battle of Britain.
11,8,What was Margaret Thatcher famous for?,Margaret Thatcher was the first woman Prime Minister of the UK.
11,9,Which two languages combined to become one English language?,"After the Norman Conquest, the king and his noblemen had spoken Norman French and the peasants had continued to speak Anglo-Saxon. Gradually these two languages combined to become one English language."
11,10,"By law, radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints.",This statement is true.
11,11,Where did the Spanish Armada come from?,"In 1588 the English defeated the Spanish Armada (a large fleet of ships), which had been sent by Spain to conquer England and restore Catholicism."
11,12,What is the name of the War Memorial located in Whitehall?,The Cenotaph is a war memorial located in Whitehall.
11,13,The UK government has never suspended the Northern Ireland Assembly.,False. The Northern Ireland Assembly has been suspended on a few occasions.
11,14,What kind of church did Scotland establish in 1560?,"In 1560, the predominantly Protestant Scottish Parliament abolished the authority of the Pope in Scotland and Roman Catholic religious services became illegal. A Protestant Church of Scotland with an elected leadership was established but, unlike in England, this was not a state Church."
11,15,When was the Domesday Book written?,"William the conqueror sent people all over England to draw up lists of all the towns and villages. The people who lived there, who owned the land and what animals they owned were also listed. This was called the Domesday Book, which gives a picture of society in England just after the Norman Conquest."
11,16,The Northern Ireland Assembly cannot make decisions on which two of the following issues?,"The Northern Ireland Assembly can make decisions on issues such as: education, agriculture, the environment health and social services, but it cannot make decisions on immigration or defence issues."
11,17,What should you do to make a complaint about the police (choose two answers)?,"Anyone can make a complaint about the police by going to a police station and writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland."
11,18,What flower did William Wordsworth write about?,William Wordsworth wrote ‘The Daffodils’.
11,19,When is St Andrew’s day celebrated?,"St Andrew’s day, patron of Scotland, is celebrated on the 30th of November."
11,20,Who was the architect that rebuilt Saint Paul’s cathedral after the Great Fire in 1666?,"In 1666, a great fire destroyed much of the city, including many churches and St Paul’s Cathedral. London was rebuilt with a new St Paul’s, which was designed by a famous architect, Sir Christopher Wren."
11,21,When were the first coins in Britain made?,The people of the Iron Age made the first coins to be minted in Britain.
11,22,Who was Emmeline Pankhurst?,"Emmeline Pankhurst was born in Manchester in 1858. She set up the women’s Franchise League in 1889, which fought to get the vote in local elections for married women. In 1903 she helped found the Women’s Social and Political Union (WSPU). This was the first group whose members were called ‘suffragettes’."
11,23,Who did Britain fight against in the Crimean War?,"From 1853 to 1856, Britain fought with Turkey and France against Russia in the Crimean War."
11,24,How old do you have to be to buy alcohol in the UK?,It is a criminal offence to sell alcohol to anyone who is under 18 or to buy alcohol for people who are under the age of 18. (There is one exception: people aged 16 or over can drink alcohol with a meal in a hotel or restaurant).
12,1,Which of the following is a Crown Dependency but not part of the UK?,The Channel Islands and the Isle of Man are closely linked with the UK but are not part of it. They have their own governments and are called ‘Crown dependencies’.
12,2,Is the BBC controlled by the government?,The BBC is the largest broadcaster in the world. It is the only wholly state-funded media organisation that is independent of government.
12,3,How many members does the Northern Ireland Assembly have?,"The Northern Ireland Assembly has 90 elected members, known as MLAs (members of the Legislative Assembly)."
12,4,Who was in charge of the British fleet at the Battle of Trafalgar?,Admiral Nelson was in charge of the British fleet at Trafalgar and was killed in the battle.
12,5,What was inscribed in the first coins to be minted in Britain during the Iron Age?,"The people of the Iron Age made the first coins to be minted in Britain, some inscribed with the names of Iron Age kings."
12,6,"Towns, cities and rural areas in the UK are governed by government appointed officials.","Towns, cities and rural areas in the UK are governed by democratically elected councils, often called ‘local authorities’."
12,7,Where is the Tate Art Gallery located?,The Tate Britain and Tate Modern are in London.
12,8,The version of the Bible created by King James I is known as:,One achievement of King James’ reign was a new translation of the Bible into English. This translation is known as the ‘King James Version’ or the ‘Authorised Version’.
12,9,What is the period of the 1960s known for?,
12,10,"Between 1680 and 1720 many refugees called Huguenots came to England, which country did they come from?",Between 1680 and 1720 many refugees called Huguenots came from France.
12,11,What is the most famous tennis tournament played in the UK?,"The most famous tournament hosted in Britain is The Wimbledon Championships, which takes place each year at the All England Lawn Tennis and Croquet Club."
12,12,MPs can only be contacted at their office in the House of Commons.,"You can contact MPs by letter or telephone at their constituency office, or at their office in the House of Commons. In addition, many MPs, Assembly members, MSPs and MEPs hold regular local ‘surgeries’, where constituents can go in person to talk about issues that are of concern to them."
12,13,What is the day when jokes are published in newspapers and telecasted on TV?,"April Fool’s Day, 1 April, is a day when people play jokes on each other until midday. The television and newspapers often have stories that are April Fool jokes."
12,14,Which Scottish king defeated the English at the Battle of Bannockburn?,"In 1314 the Scottish, led by Robert the Bruce, defeated the English at the Battle of Bannockburn, and Scotland remained unconquered by the English."
12,15,Who invented the World Wide Web?,The inventor of the World Wide Web was Sir Tim Berners-Lee.
12,16,How are civil servants appointed and what political party do they belong to?,Civil servants are chosen on merit and are politically neutral – they are not political appointees.
12,17,What is known as the “Dunkirk spirit”?,"During WWII as France fell, the British decided to evacuate British and French soldiers from France in a huge naval operation. Many civilian volunteers in small pleasure and fishing boats from Britain helped the Navy to rescue more than 300,000 men from the beaches around Dunkirk."
12,18,You have to be at least 21 years old to serve on a jury.,Anyone who is on the electoral register and is aged 18 to 70 can serve on a jury.
12,19,"If you wish to be a permanent resident or citizen of the UK, you should (choose TWO answers):","If you wish to be a permanent resident or citizen of the UK, you should: respect the rights of others, including their right to their own opinions, look after yourself and your family, respect and obey the law, treat others with fairness and look after the area in which you live and the environment."
12,20,Which of the following major sports event took place in the UK in 2012?,"The UK has hosted the Olympic games on three occasions: 1908, 1948 and 2012."
12,21,Charles I believed in the ‘Divine Right of Kings’ so he tried:,Charles I believed in the ‘Divine Right of Kings’: the idea that the king was directly appointed by God to rule. He thought that the king should be able to act without having to seek approval from Parliament and he tried to rule without the Parliament at all.
12,22,What is the Union Jack?,The Union Flag is also known as the Union Jack.
12,23,Who was voted the greatest Briton of all time in 2002?,In 2002 Winston Churchill was voted the greatest Briton of all time by the public.
12,24,Which of the following statements is true:,Women in Britain today make up about half of the workforce.
13,1,When is St George’s day?,"St George’s day, patron of England is celebrated on the 23rd of April."
13,2,Which is the largest National Park in England?,The Lake District is England’s largest national park.
13,3,"Boudicca, was a tribal leader who fought against which foreign invaders?","One of the tribal leaders who fought against the Romans was Boudicca, the queen of the Iceni."
13,4,Which of the following poems is about a group of people going on a pilgrimage?,"Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage. The people decided to tell each other stories on the journey, and the poems describe the travellers and some of the stories they told. This collection of poems is called The Canterbury Tales."
13,5,How are public holidays called?,"There are public holidays each year called bank holidays, when banks and many other businesses are closed for the day."
13,6,How did Charles II manage to escape to Europe after his defeat in the Civil War?,"Charles II escaped from Worcester, famously hiding in an oak tree on one occasion, and eventually fled to Europe."
13,7,Who defeated the Vikings?,"The Anglo-Saxon kingdoms in England united under King Alfred the Great, who defeated the Vikings."
13,8,Who was William Caxton?,William Caxton was the first person in England to print books using a printing press.
13,9,Where do Beefeaters serve as tour guides?,Beefeaters serve as tour guides at the Tower of London.
13,10,"During the rebellion of the clans in Scotland, Bonnie Prince Charlie was supported by clansmen from which Scottish region?",Charles Edward Stuart (Bonnie Prince Charlie) was supported by clansmen from the Scottish highlands.
13,11,What religion did Elizabeth I follow?,Elizabeth the I was a protestant.
13,12,Who became famous for his tramp character in silent movies?,Charlie Chaplin became famous in silent movies for his tramp character.
13,13,Which armed force was used in the Battle of Britain?,The Royal Air Force.
13,14,"In the UK, you have to be 21 years old to be able to vote in a general election.",The present voting age of 18 was set in 1969 and (with a few exceptions) all UK-born and naturalised adult citizens have the right to vote.
13,15,Which of the following poets was inspired by nature?,"British poets, including William Wordsworth, were inspired by nature."
13,16,Against which country did Britain fight at the Battle of Waterloo?,"In 1815, the French Wars ended with the defeat of the Emperor Napoleon by the Duke of Wellington at the Battle of Waterloo."
13,17,Who was William Wilberforce?,"William Wilberforce, an evangelical Christian and a member of Parliament, also played an important part in changing the law. Along with other abolitionists (people who supported the abolition of slavery), he succeeded in turning public opinion against the slave trade."
13,18,Who is the spiritual leader of the Church of England?,The spiritual leader of the Church of England is the Archbishop of Canterbury.
13,19,James I was King of which country before becoming King of England?,"When Elizabeth I died, her cousin James VI of Scotland became King James I of England, Wales and Ireland and Scotland remained a separate country."
13,20,Which of the following statements is correct?,"Most shops in the UK are open seven days a week, although trading hours on Sundays and public holidays are generally reduced."
13,21,Which country sent a fleet of ships to England in 1588?,"Elizabeth became one of the most popular monarchs in English history, particularly after 1588, when the English defeated the Spanish Armada (a large fleet of ships), which had been sent by Spain to conquer England and restore Catholicism."
13,22,Where is the National Horseracing Museum located?,"There is a National Horseracing Museum in Newmarket, Suffolk."
13,23,Which of the following castles is located in Scotland?,Crathes Castle is located in Scotland.
13,24,Who was a famous Art Deco ceramic designer?,"Britain has produced many great designers, from Thomas Chippendale (who designed furniture in the 18th century) to Clarice Cliff (who designed Art Deco ceramics) to Sir Terence Conran (a 20th-century interior designer)."
14,1,When is St Patrick’s day celebrated?,"St Patrick’s day, patron of Northern Ireland is celebrated on the 17th of March."
14,2,How are the members of the Northern Ireland Parliament elected?,"The Northern Ireland Assembly has 108 elected members, known as MLAs (members of the Legislative Assembly). They are elected with a form of proportional representation."
14,3,Who was the first British Prime Minister?,"The most important minister in Parliament became known as the Prime Minister. The first man to be called this was Sir Robert Walpole, who was Prime Minister from 1721 to 1742."
14,4,Which of the following actresses has not won an Oscar?,"British actors to have won Oscars include Colin Firth, Sir Antony Hopkins, Dame Judi Dench, Kate Winslet and Tilda Swinton. Emily Watson has not won an Oscar yet."
14,5,"During the Enlightenment, Adam Smith developed ideas about:",During ‘the Enlightenment’ Adam Smith developed ideas about economics which are still referred to today.
14,6,Who died at the Battle of Trafalgar?,Admiral Nelson was in charge of the British fleet at Trafalgar and was killed in the battle.
14,7,When is Hogmanay celebrated?,"In Scotland, the 31st of December is called Hogmanay."
14,8,Proceedings in Parliament are broadcast on television and published in official reports known as:,Proceedings in Parliament are broadcast on television and published in official reports called Hansard.
14,9,Which of the following is a rugby competition?,"The most famous rugby union competition is the Six Nations Championship between England, Ireland, Scotland, Wales, France and Italy."
14,10,Who appoints life peers in the House of Lords?,Life peers are appointed by the monarch on the advice of the Prime Minister.
14,11,Who mapped the coast of Australia?,Captain James Cook mapped the coast of Australia and a few colonies were established there.
14,12,What was the first war to be extensively covered by the media?,The Crimean War was the first war to be extensively covered by the media through news stories and photographs.
14,13,Which of the following monuments is located in Wiltshire?,Stonehenge stands in what is now the English county of Wiltshire.
14,14,Who was the first Archbishop of Canterbury?,"St Augustine led missionaries from Rome, who spread Christianity in the south. St Augustine became the first Archbishop of Canterbury."
14,15,How old do you have to be to go into betting shops or gambling clubs?,You have to be 18 to go into betting shops or gambling clubs.
14,16,The system of government in the UK is a parliamentary democracy.,This statement is true.
14,17,What is the traditional food of Northern Ireland?,Ulster fry is the correct answer.
14,18,Who was elected as British Prime Minister in 1945?,In 1945 the British people elected a Labour government. The new Prime Minister was Clement Attlee.
14,19,How many times has the UK hosted the Olympic games?,"The UK has hosted the Olympic games on three occasions: 1908, 1948 and 2012."
14,20,Why were canals built during the Industrial Revolution?,"Canals were built to link the factories to towns and cities and to the ports, particularly in the new industrial areas in the middle and north of England."
14,21,Are civil servants appointed by the government?,Civil servants are accountable to ministers. They are chosen on merit and are politically neutral – they are not political appointees.
14,22,Which of the following countries helped Britain to develop the Concorde?,"Britain and France developed the world’s only supersonic commercial airliner, Concorde."
14,23,Which invention led to the development of Britain during the Industrial Revolution?,The Industrial Revolution was the rapid development of industry in Britain in the 18th and 19th centuries. Britain was the first country to industrialise on a large scale. It happened because of the development of machinery and the use of steam power.
14,24,Who was the tribal leader who fought against the Romans?,One of the tribal leaders who fought against the Romans was Boudicca.
15,1,Which two languages were used across England during the Middle Ages?,"The Middle Ages saw the development of a national culture and identity. After the Norman Conquest, the king and his noblemen had spoken Norman French and the peasants had continued to speak Anglo-Saxon."
15,2,"In 1776, which British colonies declared their independence because they demanded that there should be ‘no taxation without representation’.","In 1776, 13 American colonies declared their independence, stating that people had a right to establish their own governments."
15,3,When was England ruled by a republic and not by a monarch?,"When Charles I was executed, England declared itself a republic, called the Commonwealth. It no longer had a monarch."
15,4,Which film produced in the UK was one of the most commercially successful films of all time and one of the highest-grossing film franchises?,"Some of the most commercially successful films of all time, including the two highest-grossing film franchises (Harry Potter and James Bond), have been produced in the UK."
15,5,When did the first farmers come to Britain?,"The first farmers arrived in Britain 6,000 years ago."
15,6,When did the First World War end?,The First World War ended at 11.00 am on 11th November 1918 with victory for Britain and its allies.
15,7,Can court orders be obtained to protect a person from being forced into a marriage?,"Court orders can be obtained to protect a person from being forced into a marriage, or to protect a person in a forced marriage."
15,8,What medal did Mary Peters win in the 1972 Olympics?,"Born in Manchester, Mary Peters moved to Northern Ireland as a child. She was a talented athlete who won an Olympic gold medal in the pentathlon in 1972."
15,9,"In England, Wales and Northern Ireland Youth Court cases are normally heard by (choose TWO answers)?","In England, Wales and Northern Ireland, if an accused person is aged 10 to 17, the case is normally heard in a Youth Court in front of up to three specially trained magistrates or a District Judge."
15,10,What was invented by Alan Turing in the 1930s?,"A Turing machine is a theoretical mathematical device invented by Alan Turing (1912-54), a British mathematician, in the 1930s."
15,11,Which of the following tells us about how people lived in England just after the Norman Conquest?,"William sent people all over England to draw up lists of all the towns and villages. The people who lived there, who owned the land and what animals they owned were also listed. This was called the Domesday Book. It still exists today and gives a picture of society in England just after the Norman Conquest."
15,12,Who led a team of scientists to ‘split the atom’ for the first time?,"Scientists led by Ernest Rutherford, working at Manchester and then Cambridge University, were the first to ‘split the atom’ and took part in the Manhattan Project in the United States, which developed the atomic bomb."
15,13,What song is sung by people in the UK and other countries when they are celebrating the New Year?,"The song Auld Lang Syne, which is sung by people in the UK and other countries when they are celebrating the New Year (or Hogmanay as it is called in Scotland)."
15,14,Who fought in the English Civil war of 1642?,The Civil war between the king and Parliament began in 1642. The country split into those who supported the king (the Cavaliers) and those who supported Parliament (the Roundheads).
15,15,Which two of these forts were part of Hadrian’s wall?,"Parts of Hadrian’s Wall, include the forts of Housesteads and Vindolanda."
15,16,What was the religion of the Puritans?,The Puritans were a group of Protestants who advocated strict and simple religious doctrine and worship.
15,17,What is the name of Irish people who favoured complete independence from the UK in the 19th century?,"The Irish Nationalist movement had grown strongly through the 19th century. Some, such as the Fenians, favoured complete independence."
15,18,Which two British pop music groups were famous during the Swinging Sixties?,"The decade of the 1960s was a period of significant social change. It was known as the ‘swinging sixties’. There was growth in British fashion, cinema and popular music. Two well-known pop music groups at the time were The Beatles and The Rolling Stones."
15,19,What is the minimum age required to drive a motorcycle?,"In the UK, you must be at least 17 years to drive a car or motorcycle and you must have a driving licence to drive on public roads."
15,20,"The members of the House of Lords, known as peers, are elected by the people.","The members of the House of Lords, known as peers, are not elected by the people."
15,21,When did the Emancipation Act abolish slavery throughout the British Empire?,In 1833 the Emancipation Act abolished slavery throughout the British Empire.
15,22,"Who is responsible for crime, policing and immigration?","The Home Secretary is responsible for crime, policing and immigration."
15,23,What kind of genre was the film Wallace and Gromit created by Nick Park?,"Nick Park won four Oscars for his animated films, including three for films featuring Wallace and Gromit."
15,24,"Anyone who is violent towards their partner – whether they are a man or a woman, married or living together – can be prosecuted.","Anyone who is violent towards their partner – whether they are a man or a woman, married or living together – can be prosecuted."
16,1,When was the United Nations set up?,The UN was set up after the Second World War and aims to prevent war and promote international peace and security.
16,2,Where is the Giant’s Causeway located?,The Giant’s Causeway is a land formation of columns made from volcanic lava located on the north-east coast of Northern Ireland. It was formed about 50 million years ago. There are many legends about the Causeway and how it was formed.
16,3,"What happened to Mary, Queen of Scots, after being sent to prison for 20 years by her cousin Queen Elizabeth I?","Mary was executed, accused of plotting against Elizabeth I."
16,4,Which tribe came to Britain from northern Europe after the Romans left in AD 410?,"Britain was invaded by tribes from northern Europe: the Jutes, the Angles and the Saxons."
16,5,What is one of the highest-grossing film franchises produced in the UK?,"Some of the most commercially successful films of all time, including the two highest-grossing film franchises (Harry Potter and James Bond), have been produced in the UK."
16,6,"Who can hear cases in Youth Courts in England, Wales and Northern Ireland (two answers)?","In England, Wales and Northern Ireland, if an accused person is aged 10 to 17, the case is normally heard in a Youth Court in front of up to three specially trained magistrates or a District Judge. The most serious cases will go the Crown Court. The parents or carers of the young person are expected to attend the hearing. Members of the public are not allowed in Youth Courts, and the name or photographs of the accused young person cannot be published in newspapers or used by the media."
16,7,Who came from the Netherlands to become the British monarch?,"In May 1660, Parliament invited Charles II to come back from exile in the Netherlands. He was crowned King Charles II of England, Wales, Scotland and Ireland."
16,8,Who can apply for the National Citizen Service programme?,"The National Citizen Service programme gives 16- and 17-year-olds the opportunity to enjoy outdoor activities, develop their skills and take part in a community project."
16,9,"Nick Park has won four Oscars for his animated films, including three for films featuring:","Nick Park, who has won four Oscars for his animated films, including three for films featuring Wallace and Gromit."
16,10,Who was the British scientist who co-discovered the structure of the DNA molecule in the 1950s?,"The structure of the DNA molecule was discovered in 1953 through work at British universities in London and Cambridge. This discovery contributed to many scientific advances, particularly in medicine and fighting crime. Francis Crick (1916-2004), was one of those awarded the Nobel Prize for this discovery."
16,11,What percentage of the UK population has a parent or grandparent born outside of the UK?,Nearly 10% of the population has a parent or grandparent born outside the UK.
16,12,How old do you have to be to drive a moped in the UK?,"In the UK, you need to be at least 16 years old to ride a moped, and there are other age requirements and special tests for driving large vehicles."
16,13,Who was the leader of the Labour Party who introduced a Scottish Parliament and a Welsh Assembly?,In 1997 the Labour Party led by Tony Blair was elected. The Blair government introduced a Scottish Parliament and a Welsh Assembly.
16,14,What is the maximum amount you can claim through the small claims procedure in Scotland and Northern Ireland?,"The small claims procedure is an informal way of helping people to settle minor disputes without spending a lot of time and money using a lawyer. This procedure is used for claims of less than £10,000 in England and Wales and £3,000 in Scotland and Northern Ireland."
16,15,Which historical monument did William the Conqueror build?,"The White Tower in the Tower of London is an example of a Norman castle keep, built on the orders of William the Conqueror."
16,16,Who became Prime Minister after Margaret Thatcher and played an important part in the Northern Ireland peace process?,"John Major was Prime Minister after Mrs Thatcher, and helped establish the Northern Ireland peace process."
16,17,Who should you contact to report a terrorist activity?,"If you think someone is trying to persuade you to join an extremist or terrorist cause, you should notify your local police force."
16,18,"Which Paralympic athlete has won gold medals for swimming at the 2008, 2012 and 2016 Paralympic Games?","Ellie Simmonds is a Paralympian who won gold medals for swimming at the 2008, 2012 and 2016 Paralympic Games and holds a number of world records. She was the youngest member of the British team at the 2008 Games."
16,19,"Each of the UK countries is associated with a flower symbol, which country is associated with the rose?","The countries that make up the UK all have flowers which are particularly associated with them and which are sometimes worn on national saints’ days. The flowers associated to each country are as follows: England – the rose, Scotland – the thistle, Wales – the daffodil and Northern Ireland – the shamrock."
16,20,Isambard Kingdom Brunel was responsible for:,"Brunel was originally from Portsmouth, England. He was an engineer who built tunnels, bridges, railway lines and ships. He was responsible for constructing the Great Western Railway, which was the first major railway built in Britain. It runs from Paddington Station in London to the south west of England, the West Midlands and Wales."
16,21,What is the Commonwealth?,"The Commonwealth is an association of countries that support each other and work together towards shared goals in democracy and development. Most member states were once part of the British Empire, although a few countries which were not have also joined."
16,22,Under which name was the movement of opinion against the authority of the Pope during the times of Henry VIII known?,The correct answer is the Reformation.
16,23,What did Isaac Newton discover?,"Newton’s most famous published work was Philosophiae Naturalis Principia Mathematica (‘Mathematical Principle of Natural Philosophy’), which showed how gravity applied to the whole universe. Newton also discovered that white light is made up of the colours of the rainbow."
16,24,What kind of movies did Academy Award winner Nick Park specialise in?,"Britain continues to be particularly strong in special effects and animation. One example is the work of Nick Park, who has won four Oscars for his animated films, including three for films featuring Wallace and Gromit."
17,1,Which of the following is not a constitutional institution?,"Constitutional institutions in the UK include: the monarchy, the Parliament (the House of Commons and the House of Lords), the Prime Minister, the cabinet, the judiciary (courts), the police, the civil service and the local government. The armed forces are not a constitutional institution."
17,2,What food shortage caused the famine in Ireland?,"In the middle of the century the potato crop failed, and Ireland suffered a famine. A million people died from disease and starvation."
